experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,5.18,0.01229,0.0124,0.01762,"0.01762, 0.01418, 0.0132, 0.01267, 0.0124","азтучатценювио мольять иличе лесливыцторь;
здая худнаю.
у но сер казто не.
онанею, иезнирь, и в утит."
2,100,32,1,11.7,0.01126,0.01149,0.01746,"0.01206, 0.0119, 0.01174, 0.01161, 0.01149","анситре;
олудей зотяv
стредно добружись ист
и мовграбоч)ля отра и мели дам:! жо}
нестыт согду мину во"
3,200,32,1,22.02,0.01061,0.01067,0.01768,"0.01097, 0.01084, 0.01079, 0.01074, 0.01067","а,
поле в разешь.

покилась покореде
богда!
покошви, размолной, но я так нойний в полодить
и, лублю,
"
4,50,64,1,10.18,0.01189,0.01225,0.01751,"0.01751, 0.01411, 0.01321, 0.01258, 0.01225","ахринетой, захсы ные студ

xxv

ны нсе ж ыватоной нак жежканы до сной граждо яты: не с де несте чеб:
"
5,100,64,1,19.99,0.01138,0.01136,0.01746,"0.01193, 0.01173, 0.0116, 0.01143, 0.01136","аc)v.

в поделе,
к заренью
тия! навовал прозряпая, прованих дружнеких,
постеждо лишенанимента, так яс"
6,200,64,1,34.34,0.01054,0.01049,0.01779,"0.01079, 0.01066, 0.01054, 0.01049, 0.01055","ам полиз множенел ой;
хоки веребя стал вусаресть со тры какро вездает задценемая с глябя друзнцй триж"
7,50,128,1,19.8,0.01214,0.0122,0.01745,"0.01745, 0.01394, 0.01306, 0.01253, 0.0122","ат фдосьяй,
и учусвгещераш густужат;
пенный,
есь перян и говала да плудленаль озснобе сто тол продцо "
8,100,128,1,32.5,0.01134,0.01124,0.01747,"0.01197, 0.01172, 0.01152, 0.01142, 0.01124","ашном а задуршеци, виты

хпузерою фравлен,
негиньков тап-вотнцы бладно валем кури ?ixii


ечво твотом"
9,200,128,1,68.84,0.0103,0.01041,0.01727,"0.01067, 0.01061, 0.01052, 0.01049, 0.01041","ак воей сопнивы?
вестаешьй)
странепсной ного полу в перькмо мнет из полявит в стуть, млад леко вхачал"
10,300,64,1,43.66,0.0099,0.01006,0.01749,"0.01023, 0.01018, 0.01013, 0.01014, 0.01006","аки сбед стролять
осепит уладает живат и пошумон с ни своим и,
онаги
кожер его ож, - . . . . . . . . "
