experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,4.18,0.00978,0.0099,0.01013,"0.01, 0.0101, 0.01013, 0.0101, 0.0099","авкой им заблеит.
что доча ходнеет развечала на глятель
шук дому,
печаньем
дем,
не вешенцустренская.
"
2,100,32,1,9.0,0.00999,0.00977,0.00999,"0.00986, 0.0099, 0.00978, 0.00977, 0.00986","а дверенных бежал в тихою роходу:
по быть и тебе додлиных обо ваш -
скорный меда кновы
масто жиле
сво"
3,200,32,1,16.27,0.00931,0.00941,0.00984,"0.00959, 0.0096, 0.0096, 0.00943, 0.00941","ах поэти? преденья хлада
на свою приврады,
как крумче ромод - и знающих в обог зделил его нет;
подокм"
4,50,64,1,8.56,0.00964,0.00941,0.0095,"0.0095, 0.00944, 0.00945, 0.00945, 0.00941","а свою слажденье.
тая вслез ленным и ей мужды щем
и сене,
чув
в собазуч:
""обожаде
так егла: воюте мой"
5,100,64,1,16.04,0.00928,0.00933,0.00942,"0.0094, 0.00935, 0.00935, 0.00933, 0.00937","ах ни все чанной,
как, а это укром нарыки и знался уходит, чет иль зное вись на сладкои
tот местросм
"
6,200,64,1,32.73,0.00913,0.00919,0.00931,"0.0092, 0.00924, 0.00919, 0.00925, 0.00921","ал!

хlv

его,
писал
в госнеле;
он оча,
она радостья,
в седа мганились.

xxxiv

аселью нет?

xxii

за"
7,50,128,1,16.35,0.00911,0.0091,0.00919,"0.00919, 0.00912, 0.00911, 0.00912, 0.0091","аше от ним он
с ни с мученье.
довольно стремяна,
но ужецы, лунквй? другу взорской аниже спит
уж молбо"
8,100,128,1,32.47,0.0091,0.00902,0.00913,"0.00907, 0.00908, 0.00908, 0.00902, 0.00906","ам закак незнулся анился разговорте ей забыть я на честрю супля
он строги, маллях тихо, он обиок нам "
9,200,128,1,64.13,0.00899,0.00895,0.00906,"0.009, 0.00899, 0.00901, 0.00896, 0.00899","а бывали мало красам ничной последник шепчто,
и блюду путь и ленский, отда мгли гори скажани,
с ковле"
10,300,64,1,48.47,0.00887,0.00893,0.00905,"0.00899, 0.00897, 0.00898, 0.00897, 0.00893","а о ты рекой
они предми в мой забоей,
теж бедный зрайдет страноческому, моске, бевелит: я предечео вд"
