experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,7.07,0.01222,0.01242,0.01754,"0.01754, 0.0142, 0.01321, 0.01273, 0.01242","а нох гуда пструтухнак налей лорвтаб, по-т я!
баторит мошумму ледьу нешкак,
и ласной и в выт гду, про"
2,100,32,1,11.61,0.01156,0.01148,0.01782,"0.01212, 0.01193, 0.01174, 0.01165, 0.01148","ажна!"" (здал быле,
дришее,
бпадапелевилод.
чта ейстраши проты
капраней прако лро родценный"", уграв бы"
3,200,32,1,24.46,0.01034,0.01069,0.01754,"0.01092, 0.01087, 0.01075, 0.01077, 0.01069","а золодит но перердцах он готовеи клюданшку не в вегечещ {1узслады лизный нансмять, бедеться сенты за"
4,50,64,1,8.22,0.01218,0.01229,0.01737,"0.01737, 0.01405, 0.01315, 0.0127, 0.01229","ажной. рово,
беля"" наю в вемым бый. сзами, прегумабона мило ме музв, жвостет ги . на
. . . . и чти мо"
5,100,64,1,18.5,0.01141,0.0114,0.0174,"0.01201, 0.01181, 0.01159, 0.0115, 0.0114","акни сладу блась.
и лянь старавей
кать.
гочнеы, и ража,
сьтыт
их тозослаж воел.

xvii

xll
наднац мле"
6,200,64,1,38.01,0.01049,0.01054,0.0177,"0.01079, 0.01065, 0.01065, 0.01059, 0.01054","аедь
затом ясленбись крикому; може:
чаменья,
сеетнук у: бы вва роминий свегде
с чем перовной,
не вопщ"
7,50,128,1,19.62,0.01215,0.0123,0.0174,"0.0174, 0.01404, 0.01316, 0.01263, 0.0123","а,
та равно перо траслать, неримой кожной; я рерыт неем
заска месногол, все рилпеныь да одну нилья яр"
8,100,128,1,34.2,0.01121,0.01123,0.01773,"0.01194, 0.0117, 0.0115, 0.0113, 0.01123","абалала.. л?
xxix


xxxv

в чет беденi,
и лала порь:
ереги завень взтобо его рулил пойворья: ка печза"
9,200,128,1,69.36,0.01041,0.0104,0.0174,"0.0107, 0.01065, 0.01054, 0.01047, 0.0104","анин,
за сья звод,
как зарки надом чтот, для по метельно вы чньгоет клядь
навыл рустанье онегилась,
к"
10,300,64,1,53.67,0.01004,0.01005,0.01747,"0.01029, 0.01023, 0.01026, 0.01021, 0.01005","ать она; угодной
задений;
друглу,
изманлий-си за бъеменона
в дерерились..
ко ная на мая,
мединатьской"
