experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,6.59,0.0126,0.01251,0.01771,"0.01771, 0.01439, 0.0134, 0.01279, 0.01251","амнобмей и бцее дойнишь и госю рако босья,
враенай мшехойнугу
на дероб варьномильний же скоком обли в"
2,100,32,1,10.67,0.01148,0.01152,0.01733,"0.01202, 0.01191, 0.01174, 0.01164, 0.01152","а прай,
дих ед, подся родь мижный он прос но-
еще жея оладе

 дросмал я бix""
нlx

той:

зыт дать люби"
3,200,32,1,19.61,0.01093,0.01077,0.01753,"0.01095, 0.01089, 0.01083, 0.01077, 0.01081","анах
на дледа пока, дой соленнызом стаятый быт;
чавыворако и дены,
на снегда мизу
в насту, крыгом
дол"
4,50,64,1,10.42,0.01204,0.01228,0.01753,"0.01753, 0.01411, 0.01326, 0.0127, 0.01228","ай лаелоской слов ко взланила и сивоса. стоядит,
совна.
слабу, чья сна нот тра бетер хив гкат;
васне "
5,100,64,1,18.25,0.01136,0.01142,0.01734,"0.01198, 0.01176, 0.01158, 0.01152, 0.01142","ат!
берими
не дла
брог.
таша рудама,
имя! что этам лесьничти пишлуди,
и сн проза пошем оня;
овол, ост"
6,200,64,1,36.41,0.01081,0.01057,0.01744,"0.01083, 0.01076, 0.01072, 0.01067, 0.01057","ар
я?

май..
нез руг и в хxxxiii

в сея монизнегин свесновьсенною домуг лак он однов.

'uiesr
iot?

о"
7,50,128,1,21.25,0.0121,0.01219,0.01738,"0.01738, 0.01406, 0.01308, 0.01253, 0.01219","ам с домдны, прещ.

неюбым кодастерны плаззкоо

застриваль
в серохею
ь не берся кахот
не жаквы:
лито "
8,100,128,1,35.94,0.01122,0.01122,0.01748,"0.01192, 0.01166, 0.01147, 0.01139, 0.01122","ащилленным гругря!
как прою была,
подруйцы мысковые тарь?
осланы все томна бентом дел былин, не пепор"
9,200,128,1,67.27,0.01004,0.01037,0.01759,"0.01061, 0.01052, 0.01047, 0.01049, 0.01037","асной
жапинный их педвог
прегости бый и говор,
и скровной,
злушсту гроклину здельнослыли,
нековорил,
"
10,300,64,1,51.67,0.01002,0.01006,0.01749,"0.01026, 0.01016, 0.01014, 0.01006, 0.01008","ам мое намадить глупить скорелно..... на брядя,
аниму тать
бугин.
довучат.
однуй на черчавою оно клог"
