experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,4.86,0.00923,0.00906,0.00921,"0.00906, 0.00908, 0.00921, 0.00914, 0.00914","ан мучища, за хурпер кане, все лески надождались,
на сметствеу,
и рассерыся сердечных видимаемыски.
к"
2,100,32,1,8.06,0.0092,0.00907,0.00918,"0.00909, 0.00918, 0.00913, 0.00909, 0.00907","а явли рараг.

lix

и восх голожите,
пальную неструпоклое разамок,
где пойдем,
инывший верный летися "
3,200,32,1,16.99,0.00918,0.00895,0.00917,"0.00904, 0.00905, 0.00913, 0.00908, 0.00901","ах, не полубил
и бозотная сказелый, отчть, и вошельник к, славно хряхтриво. к прямою
посугав, он тене"
4,50,64,1,7.95,0.00883,0.00886,0.00901,"0.00901, 0.009, 0.00896, 0.00886, 0.00899","азженье смечкух предсегом, все рассветым
на руга
его жда как любвистно
елю скучений одно
и том,
все, "
5,100,64,1,16.79,0.0089,0.00888,0.00897,"0.0089, 0.00893, 0.00891, 0.00889, 0.00893","авлял.
ни на судиматовать свой
сов как кромчесь окабливы каминанной;
завладееть догосзать смугивами ю"
6,200,64,1,32.35,0.00896,0.00876,0.00894,"0.00886, 0.00886, 0.0088, 0.00882, 0.00894","авленных заред страстью
но мне тем севертие ты гнеминаньем сое разгиной дрожен
татьянем хочит, милой
"
7,50,128,1,16.67,0.00873,0.00875,0.00887,"0.00887, 0.00885, 0.00877, 0.00875, 0.00876","а, с умиленьем
в толки две,
в их душа невольно крикомы помных, и нам тюфяка душа да
я еще для чердать"
8,100,128,1,32.49,0.00875,0.00869,0.00881,"0.00873, 0.00871, 0.00876, 0.00877, 0.00876","ан,
и отян я)
а это родых минут она другичали зублом всегда ндо сказальный фрончах.

xii

конскученны"
9,200,128,1,64.94,0.00882,0.00872,0.00878,"0.00877, 0.00873, 0.00872, 0.00875, 0.00878","ал лиды, с нетрем знак;
с на простон соседну мужь и я поржу м,
и глукому: ты, слова:
и зная, вновь -
"
10,300,64,1,48.55,0.00887,0.00877,0.00902,"0.00888, 0.00885, 0.00881, 0.00888, 0.00883","ак своей полю. как найнегой,
как теют, -
то еще на зрасненье мы поэя потов гостню тамкать, ней
и поед"
